keyword,title,abstract,publication_date,first_author_display_name,last_author_display_name,institution_display_name,institution_country_code,relevant,justification
manufacturing,Biomedical applications of hydrogels: A review of patents and commercial products,"Hydrogels have become very popular due to their unique properties such as high water content, softness, flexibility and biocompatibility. Natural and synthetic hydrophilic polymers can be physically or chemically cross-linked in order to produce hydrogels. Their resemblance to living tissue opens up many opportunities for applications in biomedical areas. Currently, hydrogels are used for manufacturing contact lenses, hygiene products, tissue engineering scaffolds, drug delivery systems and wound dressings. This review provides an analysis of their main characteristics and biomedical applications. From Wichterle's pioneering work to the most recent hydrogel-based inventions and products on the market, it provides the reader with a detailed introduction to the topic and perspective on further potential developments.",2014-11-29,Enrica Caló,Vitaliy V. Khutoryanskiy,University of Reading,GB,yes,"Yes, the paper is relevant. It discusses hydrogels, which are integral to the manufacturing of soft contact lenses, and covers their biomedical applications and characteristics, aligning with the company's research objectives related to manufacturing processes and optical materials."
manufacturing,Quality Control in Soft Contact Lens Manufacture — A Case Study,"Over the past few years considerable attention has been focused on the implementation and usage of SQC techniques and the need to increase awareness and knowledge of SQC has been highlighted by many authorities. The work reported here was part of a large research project carried out to investigate the barriers to acceptance of production management techniques in UK manufacturing industry and addresses the quality control/scrap problems faced by a small company manufacturing soft contact lenses. The case study demonstrates the benefits that can be gained, even when applied in a relatively simple manner, from using mean and range charts. The problems identified were those concerned with the manufacturing operations and the raw materials used and it was the use of SQC techniques which helped to identify these problems.",1988-01-01,Amrik S. Sohal,,University of Bradford,GB,yes,"Yes, the paper is relevant. It addresses quality control issues in the manufacturing of soft contact lenses, directly aligning with the company's research objective regarding manufacturing processes and the optimization of production techniques."
manufacturing,Multistate Outbreak of Fusarium Keratitis Associated With Use of a Contact Lens Solution,"Fusarium keratitis is a serious corneal infection, most commonly associated with corneal injury. Beginning in March 2006, the Centers for Disease Control and Prevention received multiple reports of Fusarium keratitis among contact lens wearers.To define the specific activities, contact lens hygiene practices, or products associated with this outbreak.Epidemiological investigation of Fusarium keratitis occurring in the United States. A confirmed case was defined as keratitis with illness onset after June 1, 2005, with no history of recent ocular trauma and a corneal culture growing Fusarium species. Data were obtained by patient and ophthalmologist interviews for case patients and neighborhood-matched controls by trained personnel. Available Fusarium isolates from patients' clinical and environmental specimens were genotyped by multilocus sequence typing. Environmental sampling for Fusarium was conducted at a contact lens solution manufacturing plant.Keratitis infection with Fusarium species.As of June 30, 2006, we identified 164 confirmed case patients in 33 states and 1 US territory. Median age was 41 years (range, 12-83 years). Corneal transplantation was required or planned in 55 (34%). One hundred fifty-four (94%) of the confirmed case patients wore soft contact lenses. Forty-five case patients and 78 controls were included in the case-control study. Case patients were significantly more likely than controls to report using a specific contact lens solution, ReNu with MoistureLoc (69% vs 15%; odds ratio, 13.3; 95% confidence interval, 3.1-119.5). The prevalence of reported use of ReNu MultiPlus solution was similar between case patients and controls (18% vs 20%; odds ratio, 0.7; 95% confidence interval, 0.2-2.8). Fusarium was not recovered from the factory, warehouse, solution filtrate, or unopened solution bottles; production of implicated lots was not clustered in time. Among 39 isolates tested, at least 10 different Fusarium species were identified, comprising 19 unique multilocus genotypes.The findings from this investigation indicate that this outbreak of Fusarium keratitis was associated with use of ReNu with MoistureLoc contact lens solution. Contact lens users should not use ReNu with MoistureLoc.",2006-08-22,Douglas C. Chang,Gavin B. Grant,Centers for Disease Control and Prevention,US,yes,"Yes, the paper is relevant. It investigates a significant outbreak of Fusarium keratitis associated with a specific contact lens solution, which directly relates to the use and safety of soft contact lenses. This aligns with the company's focus on manufacturing, user experience, and potential regulatory implications in the contact lens industry."
manufacturing,Contact lens practice,Part 1 Introduction Historical perspective. The anterior eye Visual optics Clinical instruments Part 2 Soft contact lenses Soft lens materials Soft lens manufacture Soft lens optics Soft lens measurement Soft lens design and fitting Soft toric lens design and fitting Soft lens care systems Part 3 Rigid contact lenses Rigid lens materials Rigid lens manufacture Rigid lens optics Rigid lens measurement Rigid lens design and fitting Rigid toric lens design and fitting Rigid lens care systems Part 4 Lens replacement modalities Unplanned lens replacement Daily soft lens replacement Planned soft lens replacement Planned rigid lens replacement Part 5 Special lenses and fitting considerations Scleral lenses Tinted lenses Presbyopia Continuous wear Sport Keratoconus High ametropia Paediatric fitting Therapeutic applications Post-refractive Surgery Post-keratoplasty Orthokeratology Diabetes Part 6 Patient examination and management History taking Preliminary examination Patient education Aftercare Complications Digital imaging Compliance Practice management Appendices Index,2002-01-01,Nathan Efron,,,,yes,"Yes, the paper is relevant. It covers various aspects of contact lens practice, including soft contact lenses, their materials, manufacturing, design, and fitting, which aligns with the company's research objective on soft contact lenses and manufacturing processes."
manufacturing,Manufacturing Process and Thermal Stability of Nanophotonic Soft Contact Lenses,,2019-09-24,Aleksandra Mitrović,Dragomir Stamenković,Univerzitet Union Nikola Tesla,RS,yes,"Yes, the paper is relevant. It directly addresses soft contact lenses by focusing on their manufacturing processes and thermal stability, which aligns with the company’s research objectives in manufacturing and innovation within the lens design."
manufacturing,Manufacturing of Soft Contact Lenses Using Reusable and Reliable Cyclic Olefin Copolymer Moulds,"We present experimental evidence of reusable, reliable cyclic olefin copolymer (COC) moulds in soft contact lens manufacturing. The moulds showed high performance surface roughness characteristics despite >20 kW exposure to 365 nm ultraviolet (UV) light from repeated use. Ultra-precision manufacturing techniques were used to fabricate transparent COC mould inserts and to produce soft contact lenses from liquid monomer compositions. Both polymer and silicone hydrogels were fabricated with more than 60 individual uses of the moulds. White light interferometry measured the surface roughness (Sa) of the COC moulds to be almost unchanged before and after repeated use (Sa 16.3 nm before vs. 16.6 nm after). The surface roughness of the prototyped lenses and that of commercially available soft contact lenses were then compared by white light interferometry. The surface roughness of the lenses was also nearly unchanged, despite undergoing more than 60 uses of the COC moulds (lens Sa 24.4 nm before vs. after Sa 26.5 nm). By comparison the roughness of the commercial lenses ranged from 9.3−28.5 nm, including conventional and silicone lenses, indicating that the reusable COC moulds produced competitive surface properties. In summary, COC moulds have potential as reusable and reliable mould inserts in the manufacturing of soft contact lenses, yet maintain high quality optical surfaces even after sustained exposure to UV light.",2022-11-02,Christopher S. A. Musgrave,Lorcan O’Toole,University College Dublin,IE,yes,"Yes, the paper is relevant. It addresses the manufacturing of soft contact lenses using reusable cyclic olefin copolymer moulds, which directly aligns with the company's research objectives related to manufacturing processes and lens design. The demonstrated performance of the moulds in producing high-quality optical surfaces supports the company's interests in innovation and technology integration."
manufacturing,Poly(vinyl alcohol) Hydrogels Reinforced with Nanocellulose for Ophthalmic Applications: General Characteristics and Optical Properties,"Globally, uncorrected refractive errors are one of the main causes of visual impairment, and contact lenses form an important part of modern day eye care and culture. Several hydrogels with varying physicochemical properties are in use to manufacture soft contact lenses. Hydrogels are generally too soft and reinforcement with appropriate materials is desirable to achieve high water content without compromising mechanical properties. In this study, we have developed a highly transparent macroporous hydrogel with water content >90%, by combining poly(vinyl alcohol) with nanocellulose. Furthermore, the results show that the composite hydrogel has refractive index close to that of water and very good UV-blocking properties.",2016-12-01,Gopi Krishna Tummala,Ramiro Rojas,Uppsala University,SE,yes,"Yes, the paper is relevant. It discusses the development of a poly(vinyl alcohol) hydrogel reinforced with nanocellulose, which directly relates to the manufacturing of soft contact lenses, aligning well with both the main and secondary research topics of the company."
manufacturing,Impact of Manufacturing Technology and Material Composition on the Clinical Performance of Hydrogel Lenses,"Purpose. To establish the clinical impact of three different methods of manufacture used to produce soft contact lenses. Methods. Clinical performance of five lens types was investigated by undertaking a prospective, double-masked, randomized, crossover study. Three of the lenses were made from poly(hydroxyethyl methacrylate) (pHEMA) by three different manufacturing processes (lathing, spin casting, and cast molding), and the remaining two lenses were cast molded from different materials—hydroxyethyl methacrylate/methacrylic acid and hydroxyethyl methacrylate/glycerol methacrylate (HEMA/GMA). All lenses were specially fabricated for this work at the same manufacturing plant. Thirty-four soft contact lens wearers wore each lens for 1 month on a daily-wear basis. Several clinical variables, such as ocular response, visual acuity, lens fitting, prelens tear film, lens surface dehydration, subjective response, and protein deposition, were measured. Results. In general, the spun-cast pHEMA lens performed inferiorly compared with the other pHEMA lenses. This lens induced significantly more limbal and conjunctival hyperemia than the cast-molded lens and provided poorer low contrast visual acuity (LCVA) than the other two lenses. It dehydrated more and had the least on-eye movement. However, the spun-cast lens deposited the least protein of the pHEMA lenses. In general, the HEMA/GMA lens performed inferiorly compared with the other cast-molded lenses. LCVA was worse with this lens, and subjective responses showed that this lens was thought to give the worst visual performance of the cast-molded lenses. It was also thought to be the most difficult lens to handle. Significantly more breakages occurred with this lens than any other. Conclusions. Overall, this work has shown that manufacturing method and material composition have a fundamental effect on many clinical properties of a lens. Therefore, method of manufacture is also an important consideration in the overall production of a soft lens.",2004-06-01,Carole Maldonado‐Codina,Nathan Efron,,,yes,"Yes, the paper is relevant. It investigates the impact of different manufacturing technologies and material compositions on the clinical performance of soft contact lenses, aligning with the company's research objective on manufacturing processes and lens design."
manufacturing,Therapeutic Contact Lenses with Polymeric Vehicles for Ocular Drug Delivery: A Review,"The eye has many barriers with specific anatomies that make it difficult to deliver drugs to targeted ocular tissues, and topical administration using eye drops or ointments usually needs multiple instillations to maintain the drugs’ therapeutic concentration because of their low bioavailability. A drug-eluting contact lens is one of the more promising platforms for controllable ocular drug delivery, and, among various manufacturing methods for drug-eluting contact lenses, incorporation of novel polymeric vehicles with versatile features makes it possible to deliver the drugs in a sustained and extended manner. Using the diverse physicochemical properties of polymers for nanoparticles or implants that are selected according to the characteristics of drugs, enhancement of encapsulation efficiency and prolonged drug release are possible. Even though therapeutic contact lenses with polymeric vehicles allow us to achieve sustained ocular drug delivery, drug leaching during storage and distribution and the possibility of problems related to surface roughness due to the incorporated vehicles still need to be discussed before application in a real clinic. This review highlights the overall trends in methodology to develop therapeutic contact lenses with polymeric vehicles and discusses the limitations including comparison to cosmetically tinted soft contact lenses.",2018-07-01,Seung Woo Choi,Jaeyun Kim,Sungkyunkwan University,KR,yes,"Yes, the paper is relevant. It discusses the development of therapeutic contact lenses with a focus on drug delivery, which aligns with the company's interest in soft contact lenses and manufacturing processes. The emphasis on polymeric vehicles and their impact on drug release directly relates to the objectives outlined."
manufacturing,Development of Contact Lenses and Their Worldwide Use,"The concept of applying a lens to the cornea as a refractive appliance was first proposed in the early 19th century. By 1888, glass scleral lenses for the correction of optical defects and irregularities were manufactured and used. New materials, especially soft hydrogel lenses and rigid gas-permeable lenses, became available in the 20th century and allowed comfortable contact lenses to be made in any design needed. By the 21st century, the increasing use of silicone hydrogel lenses to address the oxygen need of the cornea has led to increased worldwide use. Of the 125 million global contact lens wearers, most are female and relatively young. Soft lenses are by far the dominant modality used, with silicone hydrogel lenses taking an increasing share of new fittings, particularly for overnight wear. Microbial keratitis, although relatively uncommon, remains the most serious potential complication for these lens wearers. Ongoing basic research, more powerful antimicrobial agents, and the development of safer lens materials are helping to alleviate this problem.",2007-11-01,James E. Key,,Bausch & Lomb (France),FR,yes,"Yes, the paper is relevant. It discusses the evolution of contact lenses, focusing on soft hydrogel lenses and their impact on the market, which directly aligns with the company's primary and secondary research topics regarding soft contact lenses and manufacturing processes."
